ModelFile,Condition,ImageID,Reduction,Peak_Y,Peak_Value,Lowest_Y,Peak_Region
SE-Conv-L1_FaceBased_R2.pth,N,3,2,26,133.01921,77,Background
SE-Conv-L1_FaceBased_R2.pth,N,4,2,112,116.26364,77,Background
SE-Conv-L1_FaceBased_R2.pth,N,5,2,215,97.1086,60,Background
SE-Conv-L1_FaceBased_R2.pth,N,6,2,215,92.71188,146,Background
SE-Conv-L1_FaceBased_R2.pth,N,7,2,215,109.078,163,Background
SE-Conv-L1_FaceBased_R2.pth,N,8,2,221,113.83223,0,Background
SE-Conv-L1_FaceBased_R2.pth,N,9,2,77,67.57416,25,Eyes
SE-Conv-L1_FaceBased_R2.pth,N,10,2,111,103.54926,26,Background
SE-Conv-L1_FaceBased_R2.pth,N,11,2,77,72.52792,42,Eyes
SE-Conv-L1_FaceBased_R2.pth,N,12,2,43,107.690796,163,Background
SE-Conv-L1_FaceBased_R2.pth,N,13,2,216,121.53979,163,Background
SE-Conv-L1_FaceBased_R2.pth,N,14,2,112,100.30993,26,Background
SE-Conv-L1_FaceBased_R2.pth,N,15,2,112,110.48155,26,Background
SE-Conv-L1_FaceBased_R2.pth,N,16,2,215,114.08395,25,Background
SE-Conv-L1_FaceBased_R2.pth,N,17,2,215,110.88742,59,Background
SE-Conv-L1_FaceBased_R2.pth,N,18,2,215,100.93762,42,Background
SE-Conv-L1_FaceBased_R2.pth,N,19,2,95,27.780596,0,Eyes
SE-Conv-L1_FaceBased_R2.pth,N,20,2,112,41.850124,0,Background
SE-Conv-L1_FaceBased_R2.pth,N,21,2,112,27.046356,0,Background
SE-Conv-L1_FaceBased_R32.pth,E,1,32,129,95.816154,26,Nose
SE-Conv-L1_FaceBased_R32.pth,E,2,32,129,101.79703,26,Nose
SE-Conv-L1_FaceBased_R32.pth,E,3,32,129,109.94295,26,Nose
SE-Conv-L1_FaceBased_R32.pth,E,4,32,145,105.0183,26,Nose
SE-Conv-L1_FaceBased_R32.pth,E,5,32,129,88.37748,0,Nose
