ModelFile,Arch,Location,BaseType,Reduction,Condition,ImageID,Eyes_PoS,Nose_PoS,Mouth_PoS
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,Full,5,0,0,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,Full,6,0,0,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,Full,7,0,0,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,Full,8,0,0,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,Full,9,0,0,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,Full,10,0,0,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,Full,11,0,0,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,Full,12,0,0,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,Full,13,0.015026898,0.564338148,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,Full,14,0.023551423,0.375807494,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,Full,15,0.015875418,0.552916944,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,Full,16,0.024490951,0.538448036,0.009205788
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,Full,17,0.024991168,0.504019797,0.081860587
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,Full,18,0.099753104,0.459575564,0.005761879
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,Full,19,0.177317575,0.410287797,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,Full,20,0.012291529,0.623213887,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,Full,21,0.027818119,0.563961744,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,M,1,0,0.886647105,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,M,2,0,0.838830292,0.004183013
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,M,3,0,0.349179298,0.065798059
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,M,4,0,0.353069991,0.061205506
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,M,5,0.000288128,0.455696434,0.037625398
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,M,6,0,0,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,M,7,0.010132035,0.623274505,0.007152411
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,M,8,0.009122961,0.731081963,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,M,9,0.017113693,0.601039171,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,M,10,0.027393119,0.440465868,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,M,11,0.018802617,0.575617313,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,M,12,0,0,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,M,13,0,0.772569656,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,M,14,0,0,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,M,15,0,0,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,M,16,0,0.892200172,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,M,17,0.403575152,0.079933286,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,M,18,0.418305695,0.053379126,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,M,19,0.344579697,0.109048955,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,M,20,0.1754511,0.151734531,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,M,21,0.202852592,0.160807103,0.008963105
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,N,1,0.121081345,0.164236099,0.030534217
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,N,2,0.121849909,0.11937961,0.050449703
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,N,3,0.081087708,0.108577289,0.06712427
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,N,4,0.101595044,0.154930994,0.038958237
