ModelGroup,SE_Type,BaseType,SE_Position_Label,Reduction,Condition,N,Eyes_Mean,Eyes_SD,Eyes_SEM,Eyes_CI95,Nose_Mean,Nose_SD,Nose_SEM,Nose_CI95,Mouth_Mean,Mouth_SD,Mouth_SEM,Mouth_CI95,DiagRatio_Mean,DiagRatio_SD,DiagRatio_SEM,DiagRatio_CI95
SE-Conv-L3_FaceBased,SE-Conv,FaceBased,L3,2,M,21,0.041993,0.048868,0.010664,0.022244,0.091951,0.098496,0.021494,0.044835,0.064399,0.041804,0.009122,0.019029,0.632726,0.285060,0.062205,0.129758
SE-Conv-L3_FaceBased,SE-Conv,FaceBased,L3,2,N,17,0.005997,0.010730,0.002341,0.004884,0.026329,0.037871,0.008264,0.017238,0.090560,0.111799,0.024397,0.050890,0.832722,0.237628,0.051855,0.108167
SE-Conv-L3_FaceBased,SE-Conv,FaceBased,L3,4,E,21,0.043114,0.058559,0.012779,0.026656,0.047232,0.062683,0.013679,0.028533,0.154835,0.144552,0.031544,0.065799,0.801190,0.219142,0.047821,0.099752
SE-Conv-L3_FaceBased,SE-Conv,FaceBased,L3,4,Full,14,0.010224,0.022362,0.004880,0.010179,0.003194,0.007639,0.001667,0.003477,0.113027,0.203780,0.044468,0.092759,0.930944,0.153946,0.033594,0.070075
SE-Conv-L3_FaceBased,SE-Conv,FaceBased,L3,4,M,21,0.092134,0.080546,0.017577,0.036664,0.135159,0.070758,0.015441,0.032209,0.110022,0.058229,0.012707,0.026505,0.615633,0.153197,0.033430,0.069734
SE-Conv-L3_FaceBased,SE-Conv,FaceBased,L3,4,N,21,0.052794,0.059891,0.013069,0.027262,0.073278,0.050007,0.010912,0.022763,0.185525,0.134298,0.029306,0.061132,0.753127,0.158133,0.034507,0.071981
SE-Conv-L3_FaceBased,SE-Conv,FaceBased,L3,8,E,16,0.014914,0.021666,0.004728,0.009862,0.084892,0.151249,0.033005,0.068848,0.192639,0.206530,0.045069,0.094011,0.686673,0.327268,0.071416,0.148971
SE-Conv-L3_FaceBased,SE-Conv,FaceBased,L3,8,Full,21,0.023678,0.030912,0.006746,0.014071,0.115104,0.100595,0.021952,0.045790,0.206055,0.134700,0.029394,0.061315,0.606326,0.314869,0.068710,0.143326
SE-Conv-L3_FaceBased,SE-Conv,FaceBased,L3,8,M,21,0.164650,0.084952,0.018538,0.038670,0.122427,0.056483,0.012326,0.025711,0.048884,0.034022,0.007424,0.015487,0.636845,0.121700,0.026557,0.055397
SE-Conv-L3_FaceBased,SE-Conv,FaceBased,L3,8,N,21,0.537076,0.172346,0.037609,0.078451,0.022851,0.024152,0.005270,0.010994,0.089059,0.080964,0.017668,0.036854,0.960130,0.044410,0.009691,0.020215
SE-Conv-L3_FaceBased,SE-Conv,FaceBased,L3,16,E,12,0.045587,0.063230,0.013798,0.028782,0.029094,0.071656,0.015637,0.032617,0.023644,0.044276,0.009662,0.020154,0.807501,0.286503,0.062520,0.130415
SE-Conv-L3_FaceBased,SE-Conv,FaceBased,L3,16,Full,11,0.000742,0.002125,0.000464,0.000967,0.075903,0.145261,0.031699,0.066122,0.084036,0.126663,0.027640,0.057656,0.558360,0.306368,0.066855,0.139457
SE-Conv-L3_FaceBased,SE-Conv,FaceBased,L3,16,M,9,0.000205,0.000772,0.000168,0.000351,0.100395,0.173250,0.037806,0.078862,0.007231,0.031638,0.006904,0.014401,0.173721,0.358027,0.078128,0.162972
SE-Conv-L3_FaceBased,SE-Conv,FaceBased,L3,16,N,21,0.013800,0.028273,0.006170,0.012870,0.009343,0.017689,0.003860,0.008052,0.346234,0.254255,0.055483,0.115735,0.970388,0.045075,0.009836,0.020518
SE-Conv-L3_FaceBased,SE-Conv,FaceBased,L3,32,E,21,0.090322,0.039463,0.008612,0.017963,0.050945,0.049443,0.010789,0.022506,0.167863,0.104640,0.022834,0.047631,0.858819,0.083965,0.018323,0.038220
SE-Conv-L3_FaceBased,SE-Conv,FaceBased,L3,32,Full,10,0.054216,0.084776,0.018500,0.038590,0.042868,0.098749,0.021549,0.044950,0.000158,0.000351,0.000077,0.000160,0.669004,0.419669,0.091579,0.191031
SE-Conv-L3_FaceBased,SE-Conv,FaceBased,L3,32,M,21,0.288938,0.089042,0.019431,0.040531,0.081555,0.041655,0.009090,0.018961,0.000782,0.003422,0.000747,0.001558,0.775384,0.103610,0.022609,0.047163
SE-Conv-L3_FaceBased,SE-Conv,FaceBased,L3,32,N,21,0.171286,0.047041,0.010265,0.021413,0.022752,0.023711,0.005174,0.010793,0.047117,0.039566,0.008634,0.018010,0.911307,0.085463,0.018650,0.038903
